SurveyItemPGPhoneCalibrationKey,SurveyItemKey,PatientDischargeStartDateKey,PatientDischargeEndDateKey,PGResponseScoreCalibrationFactor,PGTopBoxScoreCalibrationFactor,EDWSourceKey,EDWCreatedDateTime,EDWModifiedDateTime
121,2355,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
122,2356,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
123,2357,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
124,2359,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
125,2360,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
126,2361,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
127,2362,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
128,2363,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
129,2364,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
130,2365,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
131,2366,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
132,2367,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
133,2368,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
134,2369,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
135,2370,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
136,2371,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
137,2372,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
138,2373,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
139,2375,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
140,2376,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
141,2377,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
142,2378,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
143,2381,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
144,2382,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
145,2384,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
146,2385,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
147,2386,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
148,2387,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
149,2388,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
150,2389,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
151,2390,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
152,2391,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
153,2392,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
154,2393,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
155,2394,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
156,2395,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
157,2396,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
158,2397,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
159,2399,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
160,2400,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
161,2401,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
162,2402,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
163,2403,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
164,2408,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
165,2409,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
166,2410,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
167,2411,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
168,2412,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
169,2413,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
170,2414,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
171,2415,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
172,2416,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
173,2417,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
174,2418,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
175,2419,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
176,2420,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
177,2421,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
